,id,author,published_at,updated_at,like_count,sentiment_score,text,labeled_status
24,24,user-hl4xm6bg3f,2024-02-10,2024-02-10,0,-0.49792266,"techtfq i am getting this error what should i does c:\users\mypho\onedrive\desktop\capstone project & c:/users/mypho/anaconda3/python.exe ""c:/users/mypho/onedrive/desktop/capstone project/capstone.py"" traceback : file ""c:\users\mypho\onedrive\desktop\capstone project\capstone.py"", line i in module couture build ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""c:\users\mypho\anaconda3\lib\site-packages\googleapiclient\_helpers.py"", line 130, in positional_wrapper return wrapped ^^^^^^^^^^^^^^^^^^^^^^^^",neutral
25,25,neerajsuryawanshi836,2024-02-03,2024-02-03,0,0.077313066,thanks for sharing informative content can anybody please let me know why order of extracted information is not in order with respect to channel ids its getting changes after each execution,neutral
26,26,savyhash1855,2024-02-01,2024-02-01,0,0.77334857,i have never seen such a detailed my video..great,pos
27,27,chetankembhavi4810,2024-01-31,2024-01-31,0,-0.5561614,no module named googleapiclient error solve this error sir,neg
28,28,chetankembhavi4810,2024-01-27,2024-01-27,0,0.41330877,mini project i will take sir,neutral
29,29,dodgewagen,2024-01-20,2024-01-20,0,0.78226507,thank you,pos
30,30,user-qm2bq7vz2n,2024-01-18,2024-01-18,0,-0.19142154,lot i think they patched the channeled thing,neutral
31,31,bobbymcclane2639,2024-01-10,2024-01-10,0,0.96297973,your coding skills are very good,pos
32,32,clementinecritique,2024-01-03,2024-01-03,0,0.57676613,"hi thoufiq, thank you for sharing the steps in details i followed it the whole day to learn i am almost a total beginner your video is very engaging and super useful you beat many professors in terms of efficiency and clarity was only having difficulty with scraping the total amount of videos with the original lines i did not know why and my troubleshooting didn't work until trying chatgpt. when i used the written lines i got 39 results instead of all the 239. it got resolved with the following lines i put it here for other users who may run into the same problem.def get_video_details: all_video_stats for i in range 50): request youtube.videos.list ) response request.execute check if there are no videos in the response if items not in response continue for video in response video_stats dick all_video_stats.append return all_video_stats",pos
33,33,fortunusgames,2023-12-10,2023-12-10,0,0.9710818,"hi thoufiq, this is a very impressive tutorial i followed this and managed to create my own visualizations for my master of arts project which analyzes several political youtubers' video output very helpful",pos
34,34,mohamedabdo-xg6tw,2023-12-09,2023-12-09,0,0.7916056,"thank you thoufiq for the great tutorial watching in de 2023, i guess the ape removed the dislaikecount in statistics and replaced it with favoritecount. just a heads-up. i don't know why they did that dislikes are good metrics to track specially if we are working with business account on youtube. thank you again",pos
35,35,yogeshindulkar320,2023-12-08,2023-12-08,0,-0.6936017,my function is stuck running at row 16 i had restarted it still it is taking pause at row 16 get_video_ids at this point can u help me why this is happening ?,neg
36,36,324jasminechristyleo6,2023-11-29,2023-11-29,0,-0.68983805,his broom my googly ape python client is not installedcan you help me,neg
37,37,Mrroy08657,2023-11-24,2023-11-24,0,0.0027873442,in video details data how to fetch all the ' video id ' from response object at the same time with others details ? ' video id ' can act as the primary key here in analysis on all dos,neutral
38,38,user-fr9fg3rf2h,2023-11-22,2023-11-22,0,-0.42469645,where is comments scraped in the above code????????????????????????????????????????????,neutral
39,39,1111ferfer,2023-11-20,2023-11-20,0,0.014965769,what can we do to search statistics for top 40 videos sorted by relevance to region,neutral
40,40,user-hb3cm6mb5u,2023-11-06,2023-11-06,0,0.8071661,brow this is an awesome project and i have learned very much but pro when i open the curl of your blog then it show me an error in the rule so please tell me how can i download your blogs regarding this project,pos
41,41,princegirl5640,2023-10-28,2023-10-28,0,0.08342495,after completing this project how to format this in resume project session,neutral
42,42,bhagyasrisheraboina2019,2023-10-23,2023-10-23,0,-0.64452064,showing invalid packages specifications in anaconda prompt,neg
43,43,andersonfernandes6998,2023-10-10,2023-10-10,0,0.9517871,thank you very much for this tutorial i am starting my studies in data analytical and this video has helped me a lot in understanding tell after seeing the results i had a question is it possible to achieve a similar result by extracting comments from each video,pos
44,44,amazingpatrick4659,2023-10-09,2023-10-09,1,-0.7617572,his it seems the google-api-python-client is not available right now,neg
45,45,user-oh9zv4st5t,2023-10-09,2023-10-09,0,0.90262586,i think your tutorials are amazing i the best data analytic tutorials i i really like and learn a lot from this tutorial but i want to work on this code too the link that you give is not working now can you update this link pleeassseee :(((((,pos
46,46,wingdigitalmarketing,2023-10-04,2023-10-04,0,0.927423,that was wonderfully helpful thoufiq. i am a complete novice and while elements of the coding such as programs you used where to find them how to integrate are aspects i need to further study the process you took was clear and inciteful. i paid attention throughout and flatter myself that i saw a few of your return errors before you did now to study some more and see where this takes me thanks again avid,pos
47,47,28petals,2023-09-18,2023-09-18,0,-0.5044454,can we get videos based on language like only english videos or only punish videos,neg
48,48,038Dude,2023-09-17,2023-09-17,0,-0.70637125,"man ism almost desperate at this point there's this ape called tube and it's for windows devices it's a third party it ape and it's frigging awesome but the problem is that the de is ask just vanished without any notice i am quite teach illiterate but have managed to create my own ape key to keep the ape going lately it wont let me use the embedded player whatever that means making me use the official it web player which in turn won't play anything above 360p, and all of the cool functions of tube cant be used either i just wish i knew how to fix this.....",neg
49,49,prajwalmeshram32,2023-09-16,2023-09-16,3,-0.27501303,"i tried extracting video details from channels who have had their likes dislikes sometimes even commentcount disables so i had to write additional check for thatdef get_video_details: all_video_stats for i in range,50): requestyoutube.videos.list) responserequest.execute for video in response video_statsdict video_statsvideo, video_statsvideo, expected_check for item in expected_check: if item in video video_statsvideo else video_statsnone all_video_stats.append return all_video_stats",neutral
50,50,TheEmpoweredMind27,2023-09-16,2023-09-16,1,-0.4993416,"when i execute this code:def get_video_details: all_video_stats for i in range 50): request youtube.videos.list ) response request.execute for video in response video_stats all_video_stats.append return all_video_statsi get this error:typeerror traceback input in , in cell line 1 ---- 1 get_video_details input in , in get_video_details 2 all_video_stats 4 for i in range 50): 5 request youtube.videos.list 8 ) 9 response request.execute 11 for video in response typeerror: sequence item i expected star instance ellipsis found",neutral
51,51,Magi_son,2023-09-15,2023-09-15,0,-0.081692435,how to show video id,neutral
52,52,lalithkishorep2618,2023-09-08,2023-09-08,0,-0.61987484,hi sir i have doubt on how we can take subscribe count,neg
53,53,chiragbhawsar4544,2023-09-06,2023-09-06,0,-0.37783727,how we scrapped comment with this videos,neutral
54,54,kiruthickagp,2023-09-05,2023-09-05,0,0.8240938,thanks a lot techtfq. i was struggling a lot to do the initial steps of this project . please do lot of videos like this !!!!!!!,pos
55,55,harish1838,2023-09-03,2023-09-03,1,-0.53727365,hey people i have an issue installing environment can someone help me fixity,neg
56,56,muhammaddanialtanoli,2023-08-27,2023-08-27,0,0.9835617,nicely explained each and every detail thank you so much,pos
57,57,thetruth4461,2023-08-07,2023-08-07,2,-0.42030308,"for those of you who are seeing this project in 2023, in the function to get video ids remove the dislike code as now couture ape does not give information on dislikes",neutral
58,58,kowsergazi,2023-08-04,2023-08-04,0,0.9675798,great video looking for more like this,pos
59,59,samueljudephilips137,2023-08-01,2023-08-01,0,-0.76237005,"hey thoufiq , ism stuck at 16:45 , the part where i executed the code..........i don't see any output or errors , it just takes me to another line or box to type code..............also the juster notebook didn't open in my created environment but i anyways continued in the python ipykernel. please help me",neg
60,60,kamalikamukherji6482,2023-07-22,2023-07-22,0,-0.25047603,how do u manage to learn work show so much sir seems you got dark circles how do u work so hard plus suggest,neutral
61,61,nikethdonthula2123,2023-07-14,2023-07-14,1,0.19856319,can i put this project in my resume i,neutral
62,62,soumilyade1057,2023-07-14,2023-07-14,1,0.98072106,30:52 well now you have 215k subscribers ad congrats on that and thanks for the video....!,pos
63,63,sethpai,2023-06-30,2023-06-30,0,0.9420361,brilliant tutorial appreciated the pace and details with this tutorial i can focus my time on exploring couture data and not worrying about how to get it,pos
64,64,edwardboyo9746,2023-06-29,2023-06-29,0,0.14511788,i was going through the video that has to do with the couture apian then i want to take a different way i would like to access the number of videos for each of the youtubers and also their videos later on as i go on as you did as well,neutral
65,65,gopia5095,2023-06-25,2023-06-25,0,0.09628199,clear explanation,neutral
66,66,SMajid--SMajid,2023-06-20,2023-06-20,5,0.051314306,"here's how to get channel id in 2023:1. go to the desired channel and right click on the channel page go to view page source's on the source page top left will have line wrap with a check box check that box press ctrl+f on your keyboard to open search table type '?channel_id', it will highlight channel id for you copy and use it",neutral
67,67,mohitnemade5320,2023-06-18,2023-06-18,0,0.9115451,project is very awesome for learn but only the thing while speaking take a breath & stop a bit and explain well continuously you are speaking it looks like someone is following you and feeling also sleepy while working on project,pos
68,68,ruksharalam173,2023-06-12,2023-06-12,0,0.032004632,can we get the github rep for this code,neutral
69,69,machineUnlearner,2023-06-03,2023-06-03,2,-0.5950486,now the couture channel id cannot be extracted from the process you mentioned please let me know the alternate,neg
70,70,d4lm0,2023-05-31,2023-05-31,1,-0.31060258,"to those who had problems installing google-api-python-client try thereto install this package run one of the following condo install c conda-forge google-api-python-client condo install c ""conda-forge/label/cf201901"" google-api-python-client condo install c ""conda-forge/label/cf202003"" google-api-python-client condo install c ""conda-forge/label/gcc7"" google-api-python-client",neutral
71,71,beforeyourimmigrants8471,2023-05-28,2023-05-28,0,-0.15807839,that accent is too distracting you should do some mealtime voice cloning to sound like an america it'll be awesome if it was implemented at the university level 2 so we can understand what these professors are saying,neutral
72,72,mhapich,2023-05-21,2023-05-21,2,0.92661446,this is the first video that have watched on scraping anything that i was able to follow from beginning to end understand and be able to apply to my own channels and project...without running into problems that couldn't be easily fixed i could fix my own mistakes because you explained each step so thoroughly thank you,pos
73,73,hoekbrwr,2023-05-19,2023-05-19,0,0.82657075,i am happy i struggled over this i was goggling for a googly apes script and ended in python it is a very clear explanation and i am so happy about your english pronunciation lot of your country men have a strong accent i get very very tired of so i give up or miss too much so i subscribed to your channel,pos
74,74,praveenlifemaker,2023-05-18,2023-05-18,1,-0.33045033,in charm ism unable to get the return response the code is executed perfectly but with no output in the console what to do,neutral
75,75,user-zd4wq8ue4p,2023-05-17,2023-05-17,0,-0.6542811,his techtfq how to get different couture channel curl link please put related videos..here i cant understand that only reason...,neg
76,76,jareshiahsamuel4207,2023-05-09,2023-05-09,0,-0.41995466,ism getting key error statistics i can some one help me out to solve the error,neutral
77,77,saimahmad1445,2023-05-01,2023-05-01,0,0.83791286,it was the best video on this topic... i have a question can you please tell me how to use filter on tags while retrieving videos data,pos
78,78,raghavdadhich9774,2023-04-26,2023-04-26,0,-0.79618895,where is the code sheet i am not able to find it,neg
79,79,Sumfinfunny777,2023-04-21,2023-04-21,2,-0.44847628,"condo install google-api-python-client"" did not workbut""conda install c conda-forge google-api-python-client"" worked",neutral
80,80,VictoireRey-pr7qh,2023-04-18,2023-04-18,2,-0.78641474,"hello ism trying to run your code to get video details from a list of video_ids but i have a sol error when running video_detailsget_video_details and don't know how to fix it... error is the following : ""sslcertverificationerror: certificate verify failed self signed certificate in certificate chain "" do you know how i can fix this thanksssss",neg
81,81,annarocha9769,2023-04-07,2023-04-07,0,0.98893476,orgy this is awesome thanks a lot,pos
82,82,AlexandreDias18,2023-04-07,2023-04-07,11,0.9875448,wow as a fellow data scientists i am truly amazed by the incredible work you've done your expertise in data analysis and modeling is truly inspiring your ability to harness the power of data to uncover insights and make informed decisions is truly invaluable your work has helped businesses optimize their operations improve customer experiences and drive innovation thank you for your hard work and dedication in making the world a better place through data-driven insights keep up the amazing work,pos
83,83,sabasareen1436,2023-03-28,2023-03-28,0,-0.11084376,how to get only comments of the video,neutral
84,84,sruthysunil1423,2023-03-20,2023-03-20,0,-0.6005214,"hi sir i would to like to ask you about a doubt regarding the channel ids i am not able to get the channel id from the above mentioned method , even i have tried to select a video from the channel and checked the curl now it all are customized and i wasn't able to get the channel id is there any other way to get the channel ids",neg
85,85,aasimgandhi69,2023-03-17,2023-03-17,0,-0.785069,i have issue on get_video_details function is returningthis much output only i don't know why my code is perfect but still it is note returning videos list,neg
86,86,Empeiro,2023-03-07,2023-03-07,0,0.98669875,brother what a nice video thanks for the time and sharing,pos
87,87,denisaroxana4006,2023-03-03,2023-03-03,0,-0.023602016,can you get video data from videos posted in a certain week or a specific time frame,neutral
88,88,manassr7840,2023-02-07,2023-02-07,0,0.20467591,is it possible to use the extracted data and implement an my model if so which would be the best suitable model,neutral
89,89,farsanarahman5370,2023-01-31,2023-01-31,0,-0.6350956,"i don't get channel id , any one please help on this",neg
90,90,hassansemlali7450,2023-01-31,2023-01-31,0,0.97973186,nice content brother you help me a lot i really appreciate your efforts,pos
91,91,pranayjain._,2022-12-31,2022-12-31,0,0.8604164,thanks a lot,pos
92,92,ronaldchrishton7969,2022-12-29,2022-12-29,0,0.8002871,the its useful for me,pos
93,93,ShrutiKhandelwal007,2022-12-29,2022-12-29,1,-0.25605345,can we also extract random channel names/ids using python code for the data analysis to know who's at the top in any field we have to search the channel name to find its id as of now i had to search googly for the top subscribers and then analyzed it can't we just randomly sample this whole couture dataset to get the channel and do the analysis,neutral
94,94,jeeyuuni,2022-12-07,2022-12-07,2,0.9899368,thank you so much for this ! it was super easy to follow along you are a great teacher,pos
95,95,novigrad7490,2022-12-05,2022-12-05,1,-0.20587659,can someone tell me how to scrape the duration of the video,neutral
96,96,jossyr6662,2022-12-04,2022-12-04,0,-0.3326886,can't we use pycharm?,neutral
97,97,AK-Star007,2022-11-19,2022-11-19,2,0.29436457,this was exactly what i was looking for to the point explanation than,neutral
98,98,apusarkar864,2022-11-19,2022-11-19,0,-0.81206626,"i run the command ""get_channel_stats"" but i not getting proper result i get this output",neg
99,99,apusarkar864,2022-11-19,2022-11-19,0,-0.62101436,"hi thoufiq, i trying to get channel id but its not showing instead of custom you told in your video how to get the channel id but its not working in that way so can you tell me any hack that how to get channeled from couture custom url?thanks",neg
100,100,zechariaparas9885,2022-11-17,2022-11-17,0,0.98340493,awesome video subscribed because of this keep up the good work godsend,pos
101,101,rajathratnakaran7893,2022-11-11,2022-11-11,0,-0.7580568,ism getting this error keyerror: 'commentcount'. please help,neg
102,102,jarosawszyc8287,2022-11-05,2022-11-05,0,0.9602355,absolutely amazing video,pos
103,103,HarperWolf,2022-11-02,2022-11-02,0,-0.82811856,his i am about 22:00 minutes into the tutorial and i am getting an error that says redefining name ''youtube' from outer scope i and i am getting syntax errors do you know why this is or how to resolve the issue,neg
104,104,kalheer,2022-11-02,2022-11-02,0,0.96224385,love this easy to follow,pos
105,105,ExcelNWithInisa,2022-10-29,2022-10-29,0,0.98041624,ism only 25 minutes in and have learned sooooooooo much already thank you i,pos
106,106,digdra,2022-10-25,2022-10-25,2,0.949431,best tutorial about getting couture data i found here your code is cleaner than the one proposed in other tutorials thank you,pos
107,107,roshangupta7844,2022-10-24,2022-10-24,0,-0.084799185,i wanted to ask if it is possible to get video of a channel from specific country like if i wanted video of creator from india or china only then how can i do that what should be my approach,neutral
108,108,Wexler111,2022-10-18,2022-10-18,0,0.97916263,great tutorial thanks a lot,pos
109,109,martinbenum5653,2022-10-15,2022-10-15,0,-0.47212288,hi thoufiq. i am trying to follow your process on this and have hit a snag trying to get a channeled for any one using your hack of double clicking as found around 12:30 of your video seems couture may have locked that functionality,neutral
110,110,kamalgopalsingh244,2022-10-14,2022-10-14,0,0.041720152,hie where to learn myself for free from basic to advanced for data analyst and how to make project on mysql?please guide,neutral
111,111,YoussefMrabetYMF68,2022-10-09,2022-10-09,0,0.3690464,"hi thoufiq, i would like to follow your instructions but i didn't know how to do the part "" i already imported the build ? any help would be appreciated thank you !!!",neutral
112,112,pzuazu8636,2022-10-04,2022-10-04,0,0.9892199,wow i love how you bring it all together thank you again,pos
113,113,ferdinandosomma8885,2022-10-01,2022-10-01,0,0.608286,it was very useful and easy to understand just subscribed anyway it'd like to ask you a question i have to do a project for my master course using couture paid but i need a large amount of data basically a lot of channel id of my country . is there any method or code that i can use in order to fetch all the ids because to me it's impossible to insert them manually one by one appreciate any help,pos
114,114,saikiran-yz8uv,2022-09-29,2022-09-29,1,-0.7709872,"hi thoufiq, googleapiclient.http.httprequest at 0x1f1d108fb80this is what i getting when i trying to return the response and i unable to get the output to paste and see in son validatorso can u plus tell me what is the problem and issue with this",neg
115,115,gastonalvarez3386,2022-09-07,2022-09-07,0,0.75645286,his congrats for the tutorial is really clearly explained i have a question what if i want to extract the comments from every video of a given playlets of a channel how can i do that thank you,pos
116,116,arpittrivedi6636,2022-09-06,2022-09-06,1,0.46904314,super duper boss,neutral
117,117,785lucky,2022-09-04,2022-09-04,0,0.47272155,great video taufiq. i have one question i want to browse latest 50 videos from any you tube channel and extract data for same but how can i get link for latest 50 videos only,neutral
118,118,manasasm5061,2022-08-28,2022-08-28,1,0.78226507,thank you,pos
119,119,nandhu7039,2022-08-27,2022-08-27,0,-0.10595128,how to use random channel id,neutral
120,120,urvindarkaur0278,2022-08-22,2022-08-22,11,0.5713047,"i haven't found anything better on couture than your videos for data analysis only request i have is for you to make as many projects as you can from easiest to most difficult projects so that we can be thorough in this field even if i have to pay for it it'd be more than happy but , please don't stop here especially for projects...learning languages is slightly different than when we have to put together all of the learned tings in the project",pos
121,121,animespot1448,2022-08-21,2022-08-21,0,0.9641906,great videos sir its very helpful!sorry for my bad english but i want to ask you about group in your videos around 1:03:10how can i show the number of uploaded videos per month in ordered years thank you in advanced,pos
122,122,toshifchhipa8938,2022-08-21,2022-08-21,0,-0.71301556,"getting this error "" attributeerror: function object has no attribute list's for ""get_video_ids""",neg
123,123,RenatoCosta1,2022-08-18,2022-08-18,0,-0.22710723,great tutorial i was wondering how you click and paste all the outcome after running a cells so quickly the copy and paste to the son formatter is really useful but dragging the mouse to copy the output is a pain have noticed you don't do that and tried to find a way to do the same but did not succeed,neutral
124,124,skipa9906,2022-08-17,2022-08-17,1,-0.068024725,hi i new to data analysis and i wanna know the first part you are doing by scrapping or collected data is that data engineering,neutral
125,125,gowriu9387,2022-08-16,2022-08-16,0,-0.3389332,"his could you please help me out i have just started out with python and some aspects seem too overwhelming am working through it but would be really helpful if you could help with this one error.in jupyter, i am getting an error that no module is found for googleapiclient.discovery",neutral
126,126,shraddhashrivastava2480,2022-08-10,2022-08-10,0,-0.047743507,26:30 output me fun me channel ids ki list ani chaiye..par e hi channel ka name a ha he how to solve this issue,neutral
127,127,brainstalk4577,2022-08-01,2022-08-01,1,0.97593504,very useful ! thank u,pos
128,128,webscrapingfreelancer76,2022-08-01,2022-08-01,0,0.07844415,we can also scrape using octoparse:-https://youtu.be/jqtvpderm4w,neutral
129,129,khanofficial5370,2022-07-31,2022-07-31,1,0.9589832,assalamualaikum toufiq it's really a best ever vedic which i look in couture for web scrapping,pos
130,130,haileeyuuno6233,2022-07-20,2022-07-20,1,-0.75951475,i am stuck i wanted to do a live view counter display but the viewpoint does not return live data is there anyway to do this please help,neg
131,131,angelleung02,2022-07-19,2022-07-19,0,0.008173279,may i plus ask...could you plus just send out your codes,neutral
132,132,solkarim2950,2022-07-16,2022-07-16,0,0.95123816,you are a great teacher,pos
133,133,MichaelThompson-pe1wi,2022-07-14,2022-07-14,1,0.8980472,i had to do a project like this for my internship you are a lifesaver,pos
134,134,samsonkiflom5954,2022-07-11,2022-07-11,0,0.8849001,thanks for creating this project i watched it like an action movie i and going to learn bit by bit again by creating the same project again,pos
135,135,rajeshjakkawar3338,2022-07-06,2022-07-06,3,0.9243469,project is done...........thank you,pos
136,136,yichienchong7474,2022-07-05,2022-07-05,1,0.9891637,"thank you thoufiq, this is a great project",pos
137,137,othmanebelaidi4095,2022-07-03,2022-07-03,1,-0.10676866,his is it legal to scrap couture comments ? thanks,neutral
138,138,Thilina_madushan,2022-07-02,2022-07-02,1,0.21498534,"hey most of useful tutorial,please say how to input couture channel ids in googly sheet",neutral
139,139,rafaangelsbnmkrtmtuoplertu1240,2022-07-01,2022-07-01,0,0.14639345,we,neutral
140,140,camsmith4046,2022-06-30,2022-06-30,0,-0.51985127,"please sir,traceback : file ""c:\users\pc\desktop\using couture api\main.py"", line 54, in module get_channel_stats file ""c:\users\pc\desktop\using couture api\main.py"", line 46, in get_channel_stats data dick keyerror: 'items'how is it error items????",neg
141,141,shubhampaliwal107,2022-06-26,2022-06-26,0,0.19320522,"hi taufiq, it's an excellent video ism getting ""attributeerror: 'str' object has no attribute request "" this error can you please help me out in this",neutral
142,142,FomyernSC2,2022-06-22,2022-06-22,0,0.50397617,"hi sir thank you for your tutorial it's very helpful for my research project.however, i have a problem when i tried to scrape video data from channels that have more 40,000 videos uploaded the scraper returns only 20,000 video databank suggestion to fix this issue",pos
143,143,tmh3929,2022-06-20,2022-06-20,1,0.98989725,thanks a lot techtfq! it's a great project indeed,pos
144,144,praveennavin8342,2022-06-15,2022-06-15,0,0.8897386,great video....just a small doubt...can we present this into excel using cs module,pos
145,145,rox_official9407,2022-06-14,2022-06-14,0,0.012949295,only getting in the form of /c/nameofchannel,neutral
146,146,rox_official9407,2022-06-14,2022-06-14,0,-0.81759894,sir i am not able to find channel id using your method,neg
147,147,KingofZamunda.,2022-06-13,2022-06-13,9,0.8090892,this is impressive and easy to follow however couture disabled the dislike count and this will affect the function to get video details,pos
148,148,shivamdubey4783,2022-06-11,2022-06-11,0,0.8962976,sir extremely great tutorial just one question how do we use this in dang and make our own videostreming website,pos
149,149,rox_official9407,2022-06-06,2022-06-06,1,0.08133507,can you please share the github link of this project sir ?,neutral
150,150,direct_football,2022-05-29,2022-05-29,0,0.7695286,great video one thing can you write this project in another editor pycharm?,pos
151,151,fahnub,2022-05-25,2022-05-25,0,0.96627825,thank you for this,pos
152,152,fahnub,2022-05-25,2022-05-25,0,0.98171955,this is such a good practice project definitely going on my github.,pos
153,153,dimanaeem3849,2022-05-20,2022-05-20,0,-0.88220406,"hi toufiq,i am a beginner and trying to create a virtual environment i am not able to succeed it shows space error.please help",neg
154,154,allrounder9620,2022-05-18,2022-05-18,0,0.029884163,is members only videos also run,neutral
155,155,dfmayes,2022-05-12,2022-05-12,0,0.7195036,"very helpful video but at 11:33 you don't need to do this you can pass fromusername""techtfq"" in the request instead of id",pos
156,156,sandyputrautama9279,2022-05-06,2022-05-06,0,0.98202705,thank you very awesome tutorial,pos
157,157,aravindr8034,2022-05-05,2022-05-05,0,-0.035175636,sir i got modulenot found error can any help me to how love this,neutral
158,158,abonthego,2022-05-04,2022-05-04,0,-0.14205423,in marplot my axis is coming in decimal how to change it???,neutral
159,159,sabaamanollahi5901,2022-04-18,2022-04-18,0,0.9856084,thank you thoufiq for this incredible video,pos
160,160,manvithapalchuri6183,2022-04-12,2022-04-12,0,-0.75118023,hi i was trucked in between by this error.can i get help please''str' object has no attribute request,neg
161,161,shubhangikalambe3435,2022-04-11,2022-04-11,1,0.92460173,thanks for valuable information,pos
162,162,ExiledGypsy,2022-04-05,2022-04-05,1,0.76573884,i used to be a c and sol programmer but now i am retired want to download all my comments i have made over the years on different couture into a table or database i can store locally.you seem to have done exactly what i need to toucan i access all the necessary codes that i can just copy and paste will be most grateful,pos
163,163,ahmedhassan_saver,2022-03-27,2022-03-27,0,-0.051818375,brow is there any way with is to get channel id for channels that have customurl?,neutral
164,164,TamaJoki,2022-03-20,2022-03-20,0,0.21344914,his i already running ) and succeed but i don't now where that file can you answer that thank you,neutral
165,165,taqihussain5312,2022-03-19,2022-03-19,1,0.031668466,sir please update portfolio project for data analyst,neutral
166,166,vaibhavshah8384,2022-03-16,2022-03-16,2,0.8750714,"hi thoufiq, thanks for sharing this informative & interesting video i was wondering can we extract the actual comments with replies instead of comment count in this example thanks in advanced",pos
167,167,vamseesworld1035,2022-03-10,2022-03-10,1,0.96055746,thank you brother great tutorial good explanation it worked for me can you please make a video on how to extract all the comments likes and dislikes for each comment user name comment date it will help me a lot thank you for your great explanation,pos
168,168,monikabhandari9092,2022-03-04,2022-03-04,1,-0.014364541,"hi thoufiq, this is very useful video your content is really helpful for people like us who are freshers and want to pursue career in data analytical actually i am trying the same project but i am sucked at the juster notebook it doesn't show the virtual environment kernel that i have created for this project i tried to solve this problem by installing spy kernel and displaying kernel name but still notebook doesn't show the virtual environment kernel that i have created can you please help me with this",neutral
169,169,fbalseiro,2022-02-28,2022-02-28,1,0.9778955,his great tutorial congratulations for your work it really helped me a lot to know how to work with couture paid,pos
170,170,sameermehdi3143,2022-02-26,2022-02-26,1,0.9821016,thankyou so much for this wonderful tutorial and from my analysis you posted most video on can and few up,pos
171,171,maryamazam402,2022-02-25,2022-02-25,0,0.95886904,amazing video thank you so much would like to know how to get video details of multiple channels at a time can you please suggest how to do it,pos
172,172,gurusaini2607,2022-02-16,2022-02-16,0,-0.08158183,hi sir is it possible to scrape numbers from justdial?,neutral
173,173,justenjoy600,2022-02-12,2022-02-12,1,-0.34503987,his what to do if i don't have this 'yt-env' in new notebook drop menu in jupyter?,neutral
