Unnamed: 0,id,author,published_at,updated_at,like_count,sentiment_score,text,labeled_status,unique_tokens,token_count,compound_score,positive_score,negative_score,neutral_score
20,20,hoperight5280,2024-02-21,2024-02-21,0,0.71925104,amazing,pos,['amazing'],1,0.5859,1.0,0.0,0.0
21,21,user-ye8xi6kf3q,2024-02-18,2024-02-18,0,0.987296,i have to say that you are very great...i am following your channel.your projects are just amazing for getting job,pos,"['getting', 'great', 'following', 'job', 'amazing', 'say', 'projects']",7,0.5859,0.174,0.0,0.826
22,22,mayankjacky,2024-02-12,2024-02-12,1,0.26092035,thanks,neutral,['thanks'],1,0.4404,1.0,0.0,0.0
23,23,mayankjacky,2024-02-12,2024-02-12,1,0.97828966,a great video which covers all aspects of creating a project in python for data science thank you for your service to the community at large regards,pos,"['thank', 'python', 'data', 'regards', 'great', 'community', 'large', 'service', 'science', 'covers', 'video', 'project', 'aspects', 'creating']",14,0.8316,0.286,0.0,0.714
24,24,user-hl4xm6bg3f,2024-02-10,2024-02-10,0,-0.49792266,"techtfq i am getting this error what should i does c:\users\mypho\onedrive\desktop\capstone project & c:/users/mypho/anaconda3/python.exe ""c:/users/mypho/onedrive/desktop/capstone project/capstone.py"" traceback : file ""c:\users\mypho\onedrive\desktop\capstone project\capstone.py"", line i in module couture build ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""c:\users\mypho\anaconda3\lib\site-packages\googleapiclient\_helpers.py"", line 130, in positional_wrapper return wrapped ^^^^^^^^^^^^^^^^^^^^^^^^",neutral,"['getting', 'c', '130', 'file', 'module', 'return', 'wrapped', 'line', 'project', 'error', 'traceback', 'couture', 'techtfq', 'build']",14,-0.481,0.0,0.092,0.908
25,25,neerajsuryawanshi836,2024-02-03,2024-02-03,0,0.077313066,thanks for sharing informative content can anybody please let me know why order of extracted information is not in order with respect to channel ids its getting changes after each execution,neutral,"['getting', 'information', 'please', 'know', 'let', 'thanks', 'sharing', 'ids', 'informative', 'content', 'execution', 'respect', 'channel', 'anybody', 'extracted', 'order', 'changes']",17,0.8779,0.291,0.0,0.709
26,26,savyhash1855,2024-02-01,2024-02-01,0,0.77334857,i have never seen such a detailed my video..great,pos,"['great', 'detailed', 'video', 'never', 'seen']",5,0.0,0.0,0.0,1.0
27,27,chetankembhavi4810,2024-01-31,2024-01-31,0,-0.5561614,no module named googleapiclient error solve this error sir,neg,"['named', 'sir', 'solve', 'module', 'googleapiclient', 'error']",6,-0.7003,0.125,0.528,0.347
28,28,chetankembhavi4810,2024-01-27,2024-01-27,0,0.41330877,mini project i will take sir,neutral,"['sir', 'mini', 'project', 'take']",4,0.0,0.0,0.0,1.0
29,29,dodgewagen,2024-01-20,2024-01-20,0,0.78226507,thank you,pos,['thank'],1,0.3612,0.714,0.0,0.286
30,30,user-qm2bq7vz2n,2024-01-18,2024-01-18,0,-0.19142154,lot i think they patched the channeled thing,neutral,"['thing', 'think', 'channeled', 'lot', 'patched']",5,0.0,0.0,0.0,1.0
31,31,bobbymcclane2639,2024-01-10,2024-01-10,0,0.96297973,your coding skills are very good,pos,"['good', 'skills', 'coding']",3,0.4927,0.39,0.0,0.61
32,32,clementinecritique,2024-01-03,2024-01-03,0,0.57676613,"hi thoufiq, thank you for sharing the steps in details i followed it the whole day to learn i am almost a total beginner your video is very engaging and super useful you beat many professors in terms of efficiency and clarity was only having difficulty with scraping the total amount of videos with the original lines i did not know why and my troubleshooting didn't work until trying chatgpt. when i used the written lines i got 39 results instead of all the 239. it got resolved with the following lines i put it here for other users who may run into the same problem.def get_video_details: all_video_stats for i in range 50): request youtube.videos.list ) response request.execute check if there are no videos in the response if items not in response continue for video in response video_stats dick all_video_stats.append return all_video_stats",pos,"['users', 'run', 'check', 'whole', 'sharing', 'amount', '50', 'work', 'difficulty', 'items', 'terms', 'response', '39', 'engaging', 'trying', 'lines', 'continue', 'resolved', 'details', 'steps', 'range', 'request', 'thank', 'hi', 'almost', 'many', 'thoufiq', 'got', 'scraping', 'efficiency', 'learn', 'put', 'beat', 'original', 'may', 'know', 'followed', 'used', 'instead', 'beginner', 'total', 'following', 'clarity', 'dick', 'chatgpt', 'super', 'written', 'return', 'professors', 'day', 'troubleshooting', 'video', 'results', 'videos', 'useful']",55,0.9438,0.169,0.051,0.78
33,33,fortunusgames,2023-12-10,2023-12-10,0,0.9710818,"hi thoufiq, this is a very impressive tutorial i followed this and managed to create my own visualizations for my master of arts project which analyzes several political youtubers' video output very helpful",pos,"['hi', 'create', 'followed', 'tutorial', 'visualizations', 'master', 'several', 'political', 'output', 'thoufiq', 'analyzes', 'youtubers', 'helpful', 'project', 'video', 'arts', 'managed', 'impressive']",18,0.831,0.239,0.0,0.761
34,34,mohamedabdo-xg6tw,2023-12-09,2023-12-09,0,0.7916056,"thank you thoufiq for the great tutorial watching in de 2023, i guess the ape removed the dislaikecount in statistics and replaced it with favoritecount. just a heads-up. i don't know why they did that dislikes are good metrics to track specially if we are working with business account on youtube. thank you again",pos,"['guess', 'youtube', 'account', 'working', 'favoritecount', 'de', 'great', 'specially', 'watching', 'ape', 'good', 'track', 'thank', 'dislaikecount', 'statistics', 'removed', 'thoufiq', 'metrics', 'business', 'replaced', 'dislikes', 'know', 'tutorial', '2023']",24,0.8519,0.198,0.044,0.758
35,35,yogeshindulkar320,2023-12-08,2023-12-08,0,-0.6936017,my function is stuck running at row 16 i had restarted it still it is taking pause at row 16 get_video_ids at this point can u help me why this is happening ?,neg,"['taking', 'stuck', 'happening', 'point', 'u', '16', 'still', 'help', 'pause', 'restarted', 'running', 'row', 'function']",13,0.1779,0.083,0.061,0.856
36,36,324jasminechristyleo6,2023-11-29,2023-11-29,0,-0.68983805,his broom my googly ape python client is not installedcan you help me,neg,"['installedcan', 'googly', 'help', 'ape', 'python', 'broom', 'client']",7,-0.3089,0.0,0.158,0.842
37,37,Mrroy08657,2023-11-24,2023-11-24,0,0.0027873442,in video details data how to fetch all the ' video id ' from response object at the same time with others details ? ' video id ' can act as the primary key here in analysis on all dos,neutral,"['data', 'response', 'fetch', 'analysis', 'id', 'dos', 'details', 'key', 'time', 'video', 'object', 'primary', 'act', 'others']",14,0.0,0.0,0.0,1.0
38,38,user-fr9fg3rf2h,2023-11-22,2023-11-22,0,-0.42469645,where is comments scraped in the above code????????????????????????????????????????????,neutral,"['code', 'comments', 'scraped']",3,0.0,0.0,0.0,1.0
39,39,1111ferfer,2023-11-20,2023-11-20,0,0.014965769,what can we do to search statistics for top 40 videos sorted by relevance to region,neutral,"['40', 'statistics', 'relevance', 'sorted', 'search', 'region', 'top', 'videos']",8,0.2023,0.107,0.0,0.893
40,40,user-hb3cm6mb5u,2023-11-06,2023-11-06,0,0.8071661,brow this is an awesome project and i have learned very much but pro when i open the curl of your blog then it show me an error in the rule so please tell me how can i download your blogs regarding this project,pos,"['learned', 'please', 'awesome', 'pro', 'show', 'blogs', 'curl', 'blog', 'project', 'much', 'error', 'brow', 'tell', 'open', 'rule', 'download', 'regarding']",17,0.4564,0.136,0.074,0.79
41,41,princegirl5640,2023-10-28,2023-10-28,0,0.08342495,after completing this project how to format this in resume project session,neutral,"['format', 'completing', 'resume', 'session', 'project']",5,0.0,0.0,0.0,1.0
42,42,bhagyasrisheraboina2019,2023-10-23,2023-10-23,0,-0.64452064,showing invalid packages specifications in anaconda prompt,neg,"['anaconda', 'showing', 'packages', 'invalid', 'specifications', 'prompt']",6,0.0,0.0,0.0,1.0
43,43,andersonfernandes6998,2023-10-10,2023-10-10,0,0.9517871,thank you very much for this tutorial i am starting my studies in data analytical and this video has helped me a lot in understanding tell after seeing the results i had a question is it possible to achieve a similar result by extracting comments from each video,pos,"['data', 'similar', 'understanding', 'lot', 'question', 'starting', 'tell', 'much', 'seeing', 'result', 'thank', 'extracting', 'achieve', 'possible', 'comments', 'studies', 'tutorial', 'analytical', 'video', 'helped', 'results']",21,0.3612,0.056,0.0,0.944
44,44,amazingpatrick4659,2023-10-09,2023-10-09,1,-0.7617572,his it seems the google-api-python-client is not available right now,neg,"['seems', 'right', 'available']",3,0.0,0.0,0.0,1.0
45,45,user-oh9zv4st5t,2023-10-09,2023-10-09,0,0.90262586,i think your tutorials are amazing i the best data analytic tutorials i i really like and learn a lot from this tutorial but i want to work on this code too the link that you give is not working now can you update this link pleeassseee :(((((,pos,"['data', 'work', 'working', 'amazing', 'lot', 'like', 'update', 'pleeassseee', 'tutorials', 'link', 'code', 'learn', 'give', 'really', 'tutorial', 'analytic', 'think', 'best', 'want']",19,0.7466,0.18,0.0,0.82
46,46,wingdigitalmarketing,2023-10-04,2023-10-04,0,0.927423,that was wonderfully helpful thoufiq. i am a complete novice and while elements of the coding such as programs you used where to find them how to integrate are aspects i need to further study the process you took was clear and inciteful. i paid attention throughout and flatter myself that i saw a few of your return errors before you did now to study some more and see where this takes me thanks again avid,pos,"['see', 'novice', 'avid', 'find', 'flatter', 'wonderfully', 'process', 'elements', 'clear', 'thanks', 'helpful', 'inciteful', 'takes', 'programs', 'attention', 'need', 'thoufiq', 'study', 'paid', 'throughout', 'saw', 'took', 'errors', 'complete', 'used', 'return', 'integrate', 'aspects', 'coding']",29,0.9081,0.195,0.03,0.776
47,47,28petals,2023-09-18,2023-09-18,0,-0.5044454,can we get videos based on language like only english videos or only punish videos,neg,"['language', 'like', 'based', 'get', 'english', 'videos', 'punish']",7,-0.2263,0.132,0.18,0.688
48,48,038Dude,2023-09-17,2023-09-17,0,-0.70637125,"man ism almost desperate at this point there's this ape called tube and it's for windows devices it's a third party it ape and it's frigging awesome but the problem is that the de is ask just vanished without any notice i am quite teach illiterate but have managed to create my own ape key to keep the ape going lately it wont let me use the embedded player whatever that means making me use the official it web player which in turn won't play anything above 360p, and all of the cool functions of tube cant be used either i just wish i knew how to fix this.....",neg,"['functions', 'turn', 'awesome', 'wo', 'either', 'illiterate', 'player', 'key', 'means', 'called', 'man', 'making', 'windows', 'tube', 'anything', 'party', 'ask', 'keep', 'de', 'lately', 'play', 'ape', 'ism', 'frigging', 'desperate', 'managed', 'cant', 'almost', 'without', 'web', 'cool', 'let', 'wish', '360p', 'going', 'problem', 'whatever', 'wont', 'official', 'use', 'create', 'used', 'notice', 'point', 'vanished', 'teach', 'third', 'embedded', 'quite', 'fix', 'knew', 'devices']",52,0.726,0.116,0.064,0.82
49,49,prajwalmeshram32,2023-09-16,2023-09-16,3,-0.27501303,"i tried extracting video details from channels who have had their likes dislikes sometimes even commentcount disables so i had to write additional check for thatdef get_video_details: all_video_stats for i in range,50): requestyoutube.videos.list) responserequest.execute for video in response video_statsdict video_statsvideo, video_statsvideo, expected_check for item in expected_check: if item in video video_statsvideo else video_statsnone all_video_stats.append return all_video_stats",neutral,"['thatdef', 'check', 'disables', 'likes', 'even', 'response', 'details', 'else', 'additional', 'tried', 'sometimes', 'commentcount', 'extracting', 'dislikes', 'item', 'return', 'channels', 'video', 'write']",19,0.0258,0.05,0.048,0.903
50,50,TheEmpoweredMind27,2023-09-16,2023-09-16,1,-0.4993416,"when i execute this code:def get_video_details: all_video_stats for i in range 50): request youtube.videos.list ) response request.execute for video in response video_stats all_video_stats.append return all_video_statsi get this error:typeerror traceback input in , in cell line 1 ---- 1 get_video_details input in , in get_video_details 2 all_video_stats 4 for i in range 50): 5 request youtube.videos.list 8 ) 9 response request.execute 11 for video in response typeerror: sequence item i expected star instance ellipsis found",neutral,"['9', 'ellipsis', 'instance', '50', '2', 'line', '5', 'star', 'found', 'expected', 'response', '1', 'sequence', 'cell', '4', 'range', 'request', 'execute', 'input', '8', 'code', 'def', 'error', 'traceback', 'item', '11', 'return', 'get', 'video', 'typeerror']",30,0.0,0.0,0.0,1.0
51,51,Magi_son,2023-09-15,2023-09-15,0,-0.081692435,how to show video id,neutral,"['show', 'id', 'video']",3,0.0,0.0,0.0,1.0
52,52,lalithkishorep2618,2023-09-08,2023-09-08,0,-0.61987484,hi sir i have doubt on how we can take subscribe count,neg,"['hi', 'sir', 'count', 'doubt', 'take', 'subscribe']",6,-0.3612,0.0,0.2,0.8
53,53,chiragbhawsar4544,2023-09-06,2023-09-06,0,-0.37783727,how we scrapped comment with this videos,neutral,"['comment', 'videos', 'scrapped']",3,0.0,0.0,0.0,1.0
54,54,kiruthickagp,2023-09-05,2023-09-05,0,0.8240938,thanks a lot techtfq. i was struggling a lot to do the initial steps of this project . please do lot of videos like this !!!!!!!,pos,"['please', 'initial', 'thanks', 'like', 'struggling', 'steps', 'project', 'lot', 'techtfq', 'videos']",10,0.7243,0.299,0.094,0.607
55,55,harish1838,2023-09-03,2023-09-03,1,-0.53727365,hey people i have an issue installing environment can someone help me fixity,neg,"['environment', 'installing', 'issue', 'hey', 'help', 'people', 'fixity', 'someone']",8,0.4019,0.197,0.0,0.803
56,56,muhammaddanialtanoli,2023-08-27,2023-08-27,0,0.9835617,nicely explained each and every detail thank you so much,pos,"['thank', 'nicely', 'every', 'explained', 'much', 'detail']",6,0.6597,0.403,0.0,0.597
57,57,thetruth4461,2023-08-07,2023-08-07,2,-0.42030308,"for those of you who are seeing this project in 2023, in the function to get video ids remove the dislike code as now couture ape does not give information on dislikes",neutral,"['information', 'dislikes', 'dislike', 'ids', 'get', 'ape', 'remove', 'code', 'project', '2023', 'video', 'seeing', 'give', 'couture', 'function']",15,-0.6486,0.0,0.15,0.85
58,58,kowsergazi,2023-08-04,2023-08-04,0,0.9675798,great video looking for more like this,pos,"['great', 'like', 'looking', 'video']",4,0.7841,0.58,0.0,0.42
59,59,samueljudephilips137,2023-08-01,2023-08-01,0,-0.76237005,"hey thoufiq , ism stuck at 16:45 , the part where i executed the code..........i don't see any output or errors , it just takes me to another line or box to type code..............also the juster notebook didn't open in my created environment but i anyways continued in the python ipykernel. please help me",neg,"['stuck', 'see', 'output', 'type', 'created', 'python', 'line', 'please', 'juster', 'takes', 'help', 'anyways', 'ism', 'also', 'another', 'thoufiq', 'code', 'open', 'executed', 'continued', 'environment', 'part', 'hey', 'ipykernel', 'notebook', 'box', 'errors']",27,0.7003,0.145,0.058,0.797
60,60,kamalikamukherji6482,2023-07-22,2023-07-22,0,-0.25047603,how do u manage to learn work show so much sir seems you got dark circles how do u work so hard plus suggest,neutral,"['manage', 'suggest', 'hard', 'sir', 'plus', 'show', 'got', 'dark', 'u', 'seems', 'work', 'much', 'learn', 'circles']",14,-0.2183,0.0,0.082,0.918
61,61,nikethdonthula2123,2023-07-14,2023-07-14,1,0.19856319,can i put this project in my resume i,neutral,"['resume', 'put', 'project']",3,0.0,0.0,0.0,1.0
62,62,soumilyade1057,2023-07-14,2023-07-14,1,0.98072106,30:52 well now you have 215k subscribers ad congrats on that and thanks for the video....!,pos,"['thanks', 'ad', '215k', 'subscribers', 'congrats', 'video', 'well']",7,0.8268,0.401,0.0,0.599
63,63,sethpai,2023-06-30,2023-06-30,0,0.9420361,brilliant tutorial appreciated the pace and details with this tutorial i can focus my time on exploring couture data and not worrying about how to get it,pos,"['tutorial', 'focus', 'data', 'appreciated', 'exploring', 'brilliant', 'get', 'details', 'pace', 'time', 'couture', 'worrying']",12,0.8456,0.284,0.0,0.716
64,64,edwardboyo9746,2023-06-29,2023-06-29,0,0.14511788,i was going through the video that has to do with the couture apian then i want to take a different way i would like to access the number of videos for each of the youtubers and also their videos later on as i go on as you did as well,neutral,"['different', 'access', 'go', 'well', 'like', 'would', 'way', 'take', 'youtubers', 'later', 'also', 'going', 'number', 'video', 'apian', 'couture', 'want', 'videos']",18,0.6369,0.146,0.0,0.854
65,65,gopia5095,2023-06-25,2023-06-25,0,0.09628199,clear explanation,neutral,"['explanation', 'clear']",2,0.3818,0.722,0.0,0.278
66,66,SMajid--SMajid,2023-06-20,2023-06-20,5,0.051314306,"here's how to get channel id in 2023:1. go to the desired channel and right click on the channel page go to view page source's on the source page top left will have line wrap with a check box check that box press ctrl+f on your keyboard to open search table type '?channel_id', it will highlight channel id for you copy and use it",neutral,"['check', 'type', 'id', 'left', 'search', 'top', 'channel', 'copy', 'line', 'table', 'press', 'highlight', 'source', 'keyboard', 'open', 'use', 'wrap', 'go', 'view', 'page', 'click', 'desired', 'get', 'right', 'box']",25,0.6486,0.095,0.0,0.905
67,67,mohitnemade5320,2023-06-18,2023-06-18,0,0.9115451,project is very awesome for learn but only the thing while speaking take a breath & stop a bit and explain well continuously you are speaking it looks like someone is following you and feeling also sleepy while working on project,pos,"['sleepy', 'awesome', 'stop', 'well', 'working', 'feeling', 'like', 'bit', 'speaking', 'project', 'also', 'learn', 'someone', 'breath', 'continuously', 'thing', 'following', 'explain', 'looks', 'take']",20,0.7612,0.224,0.061,0.715
68,68,ruksharalam173,2023-06-12,2023-06-12,0,0.032004632,can we get the github rep for this code,neutral,"['github', 'code', 'rep', 'get']",4,0.0,0.0,0.0,1.0
69,69,machineUnlearner,2023-06-03,2023-06-03,2,-0.5950486,now the couture channel id cannot be extracted from the process you mentioned please let me know the alternate,neg,"['process', 'please', 'know', 'let', 'id', 'channel', 'extracted', 'alternate', 'couture', 'mentioned']",10,0.3182,0.113,0.0,0.887
70,70,d4lm0,2023-05-31,2023-05-31,1,-0.31060258,"to those who had problems installing google-api-python-client try thereto install this package run one of the following condo install c conda-forge google-api-python-client condo install c ""conda-forge/label/cf201901"" google-api-python-client condo install c ""conda-forge/label/cf202003"" google-api-python-client condo install c ""conda-forge/label/gcc7"" google-api-python-client",neutral,"['problems', 'c', 'run', 'thereto', 'try', 'installing', 'following', 'condo', 'package', 'install', 'one']",11,-0.4019,0.0,0.078,0.922
71,71,beforeyourimmigrants8471,2023-05-28,2023-05-28,0,-0.15807839,that accent is too distracting you should do some mealtime voice cloning to sound like an america it'll be awesome if it was implemented at the university level 2 so we can understand what these professors are saying,neutral,"['implemented', 'saying', 'america', 'cloning', 'awesome', 'like', 'mealtime', 'sound', 'understand', 'university', 'accent', 'distracting', 'professors', '2', 'voice', 'level']",16,0.6597,0.154,0.051,0.794
72,72,mhapich,2023-05-21,2023-05-21,2,0.92661446,this is the first video that have watched on scraping anything that i was able to follow from beginning to end understand and be able to apply to my own channels and project...without running into problems that couldn't be easily fixed i could fix my own mistakes because you explained each step so thoroughly thank you,pos,"['easily', 'first', 'fixed', 'follow', 'end', 'able', 'running', 'anything', 'thoroughly', 'step', 'project', 'thank', 'problems', 'without', 'mistakes', 'apply', 'understand', 'scraping', 'explained', 'could', 'watched', 'beginning', 'channels', 'fix', 'video']",25,-0.4879,0.051,0.12,0.829
73,73,hoekbrwr,2023-05-19,2023-05-19,0,0.82657075,i am happy i struggled over this i was goggling for a googly apes script and ended in python it is a very clear explanation and i am so happy about your english pronunciation lot of your country men have a strong accent i get very very tired of so i give up or miss too much so i subscribed to your channel,pos,"['apes', 'accent', 'ended', 'miss', 'channel', 'python', 'lot', 'script', 'clear', 'pronunciation', 'much', 'strong', 'country', 'english', 'happy', 'tired', 'give', 'men', 'struggled', 'googly', 'get', 'goggling', 'explanation', 'subscribed']",24,0.7976,0.203,0.111,0.686
74,74,praveenlifemaker,2023-05-18,2023-05-18,1,-0.33045033,in charm ism unable to get the return response the code is executed perfectly but with no output in the console what to do,neutral,"['charm', 'response', 'perfectly', 'output', 'return', 'get', 'unable', 'code', 'ism', 'console', 'executed']",11,0.1655,0.158,0.099,0.743
75,75,user-zd4wq8ue4p,2023-05-17,2023-05-17,0,-0.6542811,his techtfq how to get different couture channel curl link please put related videos..here i cant understand that only reason...,neg,"['different', 'please', 'link', 'cant', 'videos', 'get', 'curl', 'understand', 'related', 'reason', 'channel', 'couture', 'techtfq', 'put']",14,0.3182,0.113,0.0,0.887
76,76,jareshiahsamuel4207,2023-05-09,2023-05-09,0,-0.41995466,ism getting key error statistics i can some one help me out to solve the error,neutral,"['getting', 'statistics', 'solve', 'help', 'key', 'ism', 'error', 'one']",8,-0.2263,0.215,0.258,0.526
77,77,saimahmad1445,2023-05-01,2023-05-01,0,0.83791286,it was the best video on this topic... i have a question can you please tell me how to use filter on tags while retrieving videos data,pos,"['please', 'question', 'data', 'tags', 'use', 'retrieving', 'best', 'video', 'tell', 'filter', 'videos', 'topic']",12,0.7579,0.22,0.0,0.78
78,78,raghavdadhich9774,2023-04-26,2023-04-26,0,-0.79618895,where is the code sheet i am not able to find it,neg,"['find', 'able', 'sheet', 'code']",4,0.0,0.0,0.0,1.0
79,79,Sumfinfunny777,2023-04-21,2023-04-21,2,-0.44847628,"condo install google-api-python-client"" did not workbut""conda install c conda-forge google-api-python-client"" worked",neutral,"['c', 'workbut', 'condo', 'conda', 'worked', 'install']",6,0.0,0.0,0.0,1.0
80,80,VictoireRey-pr7qh,2023-04-18,2023-04-18,2,-0.78641474,"hello ism trying to run your code to get video details from a list of video_ids but i have a sol error when running video_detailsget_video_details and don't know how to fix it... error is the following : ""sslcertverificationerror: certificate verify failed self signed certificate in certificate chain "" do you know how i can fix this thanksssss",neg,"['run', 'running', 'thanksssss', 'trying', 'details', 'list', 'chain', 'ism', 'sol', 'hello', 'certificate', 'failed', 'signed', 'code', 'error', 'verify', 'know', 'sslcertverificationerror', 'following', 'get', 'fix', 'video', 'self']",23,-0.9109,0.0,0.194,0.806
81,81,annarocha9769,2023-04-07,2023-04-07,0,0.98893476,orgy this is awesome thanks a lot,pos,"['orgy', 'thanks', 'lot', 'awesome']",4,0.7906,0.636,0.0,0.364
82,82,AlexandreDias18,2023-04-07,2023-04-07,11,0.9875448,wow as a fellow data scientists i am truly amazed by the incredible work you've done your expertise in data analysis and modeling is truly inspiring your ability to harness the power of data to uncover insights and make informed decisions is truly invaluable your work has helped businesses optimize their operations improve customer experiences and drive innovation thank you for your hard work and dedication in making the world a better place through data-driven insights keep up the amazing work,pos,"['harness', 'data', 'world', 'power', 'improve', 'work', 'amazing', 'innovation', 'making', 'optimize', 'place', 'fellow', 'informed', 'make', 'keep', 'experiences', 'uncover', 'analysis', 'ability', 'operations', 'businesses', 'dedication', 'amazed', 'thank', 'hard', 'wow', 'insights', 'incredible', 'customer', 'inspiring', 'invaluable', 'better', 'truly', 'decisions', 'expertise', 'done', 'drive', 'scientists', 'helped', 'modeling']",40,0.9885,0.372,0.013,0.615
83,83,sabasareen1436,2023-03-28,2023-03-28,0,-0.11084376,how to get only comments of the video,neutral,"['video', 'comments', 'get']",3,0.0,0.0,0.0,1.0
84,84,sruthysunil1423,2023-03-20,2023-03-20,0,-0.6005214,"hi sir i would to like to ask you about a doubt regarding the channel ids i am not able to get the channel id from the above mentioned method , even i have tried to select a video from the channel and checked the curl now it all are customized and i wasn't able to get the channel id is there any other way to get the channel ids",neg,"['id', 'channel', 'able', 'method', 'ask', 'sir', 'even', 'select', 'like', 'ids', 'hi', 'tried', 'doubt', 'curl', 'regarding', 'checked', 'customized', 'get', 'way', 'video', 'would', 'mentioned']",22,0.0,0.038,0.038,0.924
85,85,aasimgandhi69,2023-03-17,2023-03-17,0,-0.785069,i have issue on get_video_details function is returningthis much output only i don't know why my code is perfect but still it is note returning videos list,neg,"['returning', 'know', 'perfect', 'returningthis', 'output', 'videos', 'issue', 'list', 'code', 'much', 'note', 'still', 'function']",13,0.3291,0.089,0.0,0.911
